Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
8182847,Masterpieces of the French Enlightenment (Unexpurgated Edition) (Halcyon Classics),Various,"Various, Various","Voltaire, Jean-Jacques Rousseau, Denis Diderot, Nicolas de Condorcet, Montesquieu","=""""","=""""",0,3.60,,Kindle Edition,2099,,2010,,2024/06/30,currently-reading,currently-reading (#10),currently-reading,,,,1,0
169481,Image and Reality of the Israel-Palestine Conflict,Norman G. Finkelstein,"Finkelstein, Norman G.",,"=""1859844421""","=""9781859844427""",0,4.31,Verso Books,Paperback,256,2003,1995,,2024/06/11,to-read,to-read (#43),to-read,,,,0,0
23339559,Method and Madness: The Hidden Story of Israel's Assaults on Gaza,Norman G. Finkelstein,"Finkelstein, Norman G.",,"=""""","=""9781939293718""",0,4.20,OR Books,Paperback,236,2014,2014,,2024/06/11,to-read,to-read (#42),to-read,,,,0,0
35070437,Gaza: An Inquest into Its Martyrdom,Norman G. Finkelstein,"Finkelstein, Norman G.",,"=""0520295714""","=""9780520295711""",5,4.65,University of California Press,Hardcover,408,2018,2018,2024/06/11,2024/02/11,,,read,"I want to send this book to every international agency and government. Every page is packed with empirical evidence as well as forceful, viscerally charged argument. The book is also rational, the arguments are logically sound and the authors conclusions are substantial.<br/><br/>The reading will be hard going for some. It’s rigorous, it’s shocking and will challenge very many people’s pre-conceptions. However, it’s also an important book and for that reason alone, worthwhile reading.<br/><br/>This is a rare piece of honestly in a landscape of lies.",,,1,0
19237596,Mathematics for Physicists (Dover Books on Physics),Philippe Dennery,"Dennery, Philippe",Andre Krzywicki,"=""0486157121""","=""9780486157122""",0,3.78,Dover Publications,Kindle Edition,420,2012,1996,,2024/05/25,currently-reading,currently-reading (#9),currently-reading,,,,1,0
60101006,On Suicide,Émile Durkheim,"Durkheim, Émile","Richard Sennett, Robin Buss","=""014191534X""","=""9780141915340""",0,3.85,Penguin,ebook,0,2006,1897,,2023/07/28,,,read,,,,1,0
662867,"The Complete Works: Essays, Travel Journal, Letters",Michel de Montaigne,"Montaigne, Michel de","William  Hazlitt, Donald M. Frame","=""""","=""""",0,4.47,Everyman's Library,Hardcover,1336,2003,1592,,2024/03/31,currently-reading,currently-reading (#8),currently-reading,,,,1,0
19830550,Introduction to Artificial Intelligence,Philip C. Jackson Jr.,"Jr., Philip C. Jackson",,"=""""","=""""",0,3.69,Dover Publications,Kindle Edition,512,2013,1974,,2021/04/27,currently-reading,currently-reading (#7),currently-reading,,,,1,0
127230,On Violence,Hannah Arendt,"Arendt, Hannah",,"=""0156695006""","=""9780156695008""",5,3.77,Harvest Books,Paperback,106,1970,1970,2024/02/11,2015/10/05,,,read,,,,2,0
51152447,Caste: The Origins of Our Discontents,Isabel Wilkerson,"Wilkerson, Isabel",,"=""0593230256""","=""9780593230251""",0,4.53,Random House,Hardcover,544,2020,2020,,2024/02/09,to-read,to-read (#41),to-read,,,,0,0
