Book Id,Title,type,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Added,Summary,Tags,Genres,Category,Text,Linked Data,Owned Copies
8182847,Masterpieces of the French Enlightenment (Unexpurgated Edition) (Halcyon Classics),book,Various,"Various, Various","Voltaire, Jean-Jacques Rousseau, Denis Diderot, Nicolas de Condorcet, Montesquieu",,,0,3.6,,Kindle Edition,2099,,2010,6/30/2024,,,,,,,0
169481,Image and Reality of the Israel-Palestine Conflict,book,Norman G. Finkelstein,"Finkelstein, Norman G.",,1859844421,9781859844427,0,4.31,Verso Books,Paperback,256,2003,1995,6/11/2024,,,,,,,0
23339559,Method and Madness: The Hidden Story of Israel's Assaults on Gaza,book,Norman G. Finkelstein,"Finkelstein, Norman G.",,,9781939293718,0,4.2,OR Books,Paperback,236,2014,2014,6/11/2024,,,,,,,0
35070437,Gaza: An Inquest into Its Martyrdom,book,Norman G. Finkelstein,"Finkelstein, Norman G.",,0520295714,9780520295711,5,4.65,University of California Press,Hardcover,408,2018,2018,2/11/2024,,,,,,,0
19237596,Mathematics for Physicists (Dover Books on Physics),book,Philippe Dennery,"Dennery, Philippe",Andre Krzywicki,0486157121,9780486157122,0,3.78,Dover Publications,Kindle Edition,420,2012,1996,5/25/2024,,,,,,,0
60101006,On Suicide,book,Émile Durkheim,"Durkheim, Émile","Richard Sennett, Robin Buss",014191534X,9780141915340,0,3.85,Penguin,ebook,0,2006,1897,7/28/2023,,,,,,,0
662867,"The Complete Works: Essays, Travel Journal, Letters",book,Michel de Montaigne,"Montaigne, Michel de","William  Hazlitt, Donald M. Frame",,,0,4.47,Everyman's Library,Hardcover,1336,2003,1592,3/31/2024,,,,,,,0
19830550,Introduction to Artificial Intelligence,book,Philip C. Jackson Jr.,"Jr., Philip C. Jackson",,,,0,3.69,Dover Publications,Kindle Edition,512,2013,1974,4/27/2021,,,,,,,0
127230,On Violence,book,Hannah Arendt,"Arendt, Hannah",,0156695006,9780156695008,5,3.77,Harvest Books,Paperback,106,1970,1970,10/5/2015,,,,,,,0
51152447,Caste: The Origins of Our Discontents,book,Isabel Wilkerson,"Wilkerson, Isabel",,0593230256,9780593230251,0,4.53,Random House,Hardcover,544,2020,2020,2/9/2024,,,,,,,0
52663561,An Introduction to Statistical Mechanics and Thermodynamics,book,Robert Swendsen,"Swendsen, Robert",,0198853238,9780198853237,0,0,"Oxford University Press, USA",Hardcover,496,2020,,1/18/2024,,,,,,,0
1157237,The New Cognitive Neurosciences,book,Michael S. Gazzaniga,"Gazzaniga, Michael S.",,0262071959,9780262071956,5,3.8,Bradford Books,Hardcover,1433,1999,1995,1/13/2024,,,,,,,0
383472,Statistical Inference,book,George Casella,"Casella, George",Roger L. Berger,0534243126,9780534243128,0,4.16,Cengage Learning,Hardcover,660,2001,2001,1/9/2024,,,,,,,0
17346976,Learning Python: Powerful Object-Oriented Programming,book,Mark Lutz,"Lutz, Mark",,1449355730,9781449355739,0,4,O'Reilly Media,Paperback,1643,2013,2013,1/15/2023,,,,,,,0
52048869,Introduction to Philosophy of Technology,book,Mark Coeckelbergh,"Coeckelbergh, Mark",,019093980X,9780190939809,0,4.1,"Oxford University Press, USA",Paperback,336,2019,2019,7/25/2023,,,,,,,0
1152622,Calculus: Concepts and Methods,book,Ken Binmore,"Binmore, Ken",Joan Davies,0521775418,9780521775410,0,4.06,Cambridge University Press,Paperback,567,2001,2001,4/14/2023,,,,,,,0
74963630,Essential Math for AI: Next-Level Mathematics for Efficient and Successful AI Systems,book,Hala Nelson,"Nelson, Hala",,1098107632,9781098107635,0,3.8,,Paperback,552,2023,,12/7/2023,,,,,,,0
1262859,Geometry,book,David A. Brannan,"Brannan, David A.","Matthew F. Esplen, Jeremy J. Gray",0521597870,9780521597876,0,4.18,Cambridge University Press,Paperback,512,1999,1999,4/8/2023,,,,,,,0
6184339,The Workflow of Data Analysis Using Stata,book,J. Scott Long,"Long, J. Scott",,1597180475,9781597180474,0,4.49,Stata Press,Paperback,379,2008,2008,9/12/2023,,,,,,,0
393199,Down and Out in Paris and London,book,George Orwell,"Orwell, George",,015626224X,9780156262248,0,4.09,Mariner Books,Paperback,213,1972,1933,11/28/2023,,,,,,,0
155777,"Differential Equations, Dynamical Systems, and an Introduction to Chaos (Pure and Applied Mathematics)",book,Morris W. Hirsch,"Hirsch, Morris W.","Stephen Smale, Robert L. Devaney",0123497035,9780123497031,0,3.61,Academic Press,Hardcover,432,2003,2003,8/30/2023,,,,,,,0
40655766,Neural Networks and Deep Learning: A Textbook,book,Charu C. Aggarwal,"Aggarwal, Charu C.",,3319944622,9783319944623,0,4.22,Springer,Hardcover,524,2018,,11/14/2023,,,,,,,0
81409052,Essential Math for AI,book,Hala Nelson,"Nelson, Hala",,1098107594,9781098107598,0,3,O'Reilly Media,Kindle Edition,1035,2023,,9/17/2023,,,,,,,0
42366034,"Numerical Python: Scientific Computing and Data Science Applications with Numpy, SciPy and Matplotlib",book,Robert Johansson,"Johansson, Robert",,1484242459,9781484242452,0,4.05,Apress,Paperback,723,2018,2015,5/6/2023,,,,,,,0
